Measurement time,FCAS Event (%),Full Charge Energy (kWh),Nominal Energy (kWh),Expected Energy (kWh),Charge P Max (kW),Discharge P Max (kW),Available Blocks,3 Phase Voltage (V),3 Phase Current (A),3 Phase Power (kW),3 Phase Reactive Power (kVAr),3 Phase Apparent Power (kVA),Power Factor,Frequency (Hz),Real Energy Imported (kWh),Real Energy Exported (kWh),Reactive Energy Imported (kVArh),Reactive Energy Exported (kVArh),Apparent Energy (kVAh),Energy Price ($/MWh),Raise 6sec Price ($/MWh),Raise 60sec Price ($/MWh),Raise 5min Price ($/MWh)
2022-01-01T00:00:00+10:00,0%,2058.466,993.256,928.316,,,,242.37,1466.3,-1070.69799,21297.3,1073.88994,1,50.01,1608670.592,1382155.008,10860.268,274109.952,1742995.584,118.73,5,2.29,0.75
2022-01-01T00:05:00+10:00,0%,2058.464,907.831,844.144,,,,242.61,1525.76,-1109.21055,22695.64,1109.4471299999998,1,50.01,1608670.592,1382240.64,10861.976,274109.952,1742995.584,119.1,5,2.29,0.75
2022-01-01T00:10:00+10:00,0%,2058.461,814.546,751.969,,,,242.7,1524.91,-1109.23866,22575.33,1109.44501,1,50.01,1608670.592,1382337.024,10863.938,274109.952,1742995.584,118.73,5,1.98,0.75
2022-01-01T00:15:00+10:00,0%,2058.458,721.749,660.531,,,,242.66,1451.53,-1055.86647,20951.28,1055.93392,1,50.01,1608670.592,1382429.44,10865.826,274109.952,1742995.584,109.2,5,2.29,0.75
2022-01-01T00:20:00+10:00,0%,2058.459,632.963,572.88,,,,242.57,1521.77,-1106.18801,22591.11,1106.43799,1,49.99,1608670.592,1382517.248,10867.566,274109.952,1742995.584,117.62,5,2.29,0.75
2022-01-01T00:25:00+10:00,0%,2058.46,539.718,481.661,,,,241.74,577.08,-417.43804,2677.61,417.53181,0.58,50.01,1608670.592,1382606.848,10869.401,274109.984,1742995.584,118.73,5,2.29,0.75
2022-01-01T00:30:00+10:00,0%,2058.461,504.739,447.039,,,,242.32,1478.01,-1076.19744,21942.15,1078.27463,1,49.99,1608670.592,1382642.304,10869.733,274110.048,1742995.584,118.73,5,2.29,0.75
2022-01-01T00:35:00+10:00,0%,2058.463,416.083,360.423,,,,242.39,1526.37,-1108.874,22645.12,1109.15155,1,50,1608670.592,1382731.776,10871.557,274110.048,1742995.584,119.1,5,2.29,0.75
2022-01-01T00:40:00+10:00,0%,2058.457,310.278,267.448,,,,241.87,937.58,-679.58949,9937.45,679.65624,1,50.02,1608670.592,1382820.736,10873.373,274110.048,1742995.584,118.73,5,2.29,0.75
2022-01-01T00:45:00+10:00,0%,2058.453,242.422,211.103,,,,241.04,161.52,-115.48661,-13149.79,116.32069,-0.99,50,1608670.592,1382877.568,10874.201,274110.08,1742995.584,115.31,5,2.29,0.75
