Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price,Name
1/1/2017,1,1,N,HB_HOUSTON,HU,24.1,Jan
1/1/2017,1,2,N,HB_HOUSTON,HU,23.76,Jan
1/1/2017,1,3,N,HB_HOUSTON,HU,22.87,Jan
1/1/2017,1,4,N,HB_HOUSTON,HU,22.7,Jan
1/1/2017,2,1,N,HB_HOUSTON,HU,22.07,Jan
1/1/2017,2,2,N,HB_HOUSTON,HU,21.87,Jan
1/1/2017,2,3,N,HB_HOUSTON,HU,20.92,Jan
1/1/2017,2,4,N,HB_HOUSTON,HU,21,Jan
1/1/2017,3,1,N,HB_HOUSTON,HU,21.11,Jan
1/1/2017,3,2,N,HB_HOUSTON,HU,20.94,Jan
1/1/2017,3,3,N,HB_HOUSTON,HU,20.6,Jan
1/1/2017,3,4,N,HB_HOUSTON,HU,20.29,Jan
1/1/2017,4,1,N,HB_HOUSTON,HU,20.23,Jan
1/1/2017,4,2,N,HB_HOUSTON,HU,20.32,Jan
1/1/2017,4,3,N,HB_HOUSTON,HU,20.26,Jan
1/1/2017,4,4,N,HB_HOUSTON,HU,20.27,Jan
1/1/2017,5,1,N,HB_HOUSTON,HU,20.43,Jan
1/1/2017,5,2,N,HB_HOUSTON,HU,20.21,Jan
1/1/2017,5,3,N,HB_HOUSTON,HU,20.04,Jan
1/1/2017,5,4,N,HB_HOUSTON,HU,19.8,Jan
1/1/2017,6,1,N,HB_HOUSTON,HU,19.8,Jan
1/1/2017,6,2,N,HB_HOUSTON,HU,19.8,Jan
1/1/2017,6,3,N,HB_HOUSTON,HU,19.8,Jan
1/1/2017,6,4,N,HB_HOUSTON,HU,19.77,Jan
1/1/2017,7,1,N,HB_HOUSTON,HU,19.71,Jan
1/1/2017,7,2,N,HB_HOUSTON,HU,19.71,Jan
1/1/2017,7,3,N,HB_HOUSTON,HU,19.72,Jan
1/1/2017,7,4,N,HB_HOUSTON,HU,19.75,Jan
1/1/2017,8,1,N,HB_HOUSTON,HU,19.8,Jan
1/1/2017,8,2,N,HB_HOUSTON,HU,19.78,Jan
1/1/2017,8,3,N,HB_HOUSTON,HU,19.72,Jan
1/1/2017,8,4,N,HB_HOUSTON,HU,19.65,Jan
1/1/2017,9,1,N,HB_HOUSTON,HU,19.44,Jan
1/1/2017,9,2,N,HB_HOUSTON,HU,19.05,Jan
1/1/2017,9,3,N,HB_HOUSTON,HU,19.34,Jan
1/1/2017,9,4,N,HB_HOUSTON,HU,19.22,Jan
1/1/2017,10,1,N,HB_HOUSTON,HU,19.24,Jan
1/1/2017,10,2,N,HB_HOUSTON,HU,19.85,Jan
1/1/2017,10,3,N,HB_HOUSTON,HU,20.18,Jan
1/1/2017,10,4,N,HB_HOUSTON,HU,20.18,Jan
1/1/2017,11,1,N,HB_HOUSTON,HU,20.12,Jan
1/1/2017,11,2,N,HB_HOUSTON,HU,20.33,Jan
1/1/2017,11,3,N,HB_HOUSTON,HU,20.44,Jan
1/1/2017,11,4,N,HB_HOUSTON,HU,20.65,Jan
1/1/2017,12,1,N,HB_HOUSTON,HU,21.06,Jan
1/1/2017,12,2,N,HB_HOUSTON,HU,20.66,Jan
1/1/2017,12,3,N,HB_HOUSTON,HU,20.45,Jan
1/1/2017,12,4,N,HB_HOUSTON,HU,20.2,Jan
1/1/2017,13,1,N,HB_HOUSTON,HU,20.13,Jan
1/1/2017,13,2,N,HB_HOUSTON,HU,19.99,Jan
1/1/2017,13,3,N,HB_HOUSTON,HU,19.9,Jan
1/1/2017,13,4,N,HB_HOUSTON,HU,19.82,Jan
1/1/2017,14,1,N,HB_HOUSTON,HU,19.82,Jan
1/1/2017,14,2,N,HB_HOUSTON,HU,19.8,Jan
1/1/2017,14,3,N,HB_HOUSTON,HU,19.73,Jan
1/1/2017,14,4,N,HB_HOUSTON,HU,19.69,Jan
1/1/2017,15,1,N,HB_HOUSTON,HU,19.6,Jan
1/1/2017,15,2,N,HB_HOUSTON,HU,19.59,Jan
1/1/2017,15,3,N,HB_HOUSTON,HU,19.54,Jan
1/1/2017,15,4,N,HB_HOUSTON,HU,19.51,Jan
1/1/2017,16,1,N,HB_HOUSTON,HU,19.41,Jan
1/1/2017,16,2,N,HB_HOUSTON,HU,19.55,Jan
1/1/2017,16,3,N,HB_HOUSTON,HU,19.57,Jan
1/1/2017,16,4,N,HB_HOUSTON,HU,19.02,Jan
1/1/2017,17,1,N,HB_HOUSTON,HU,19.23,Jan
1/1/2017,17,2,N,HB_HOUSTON,HU,19.5,Jan
1/1/2017,17,3,N,HB_HOUSTON,HU,19.48,Jan
1/1/2017,17,4,N,HB_HOUSTON,HU,19.64,Jan
1/1/2017,18,1,N,HB_HOUSTON,HU,19.73,Jan
1/1/2017,18,2,N,HB_HOUSTON,HU,19.91,Jan
1/1/2017,18,3,N,HB_HOUSTON,HU,20.2,Jan
1/1/2017,18,4,N,HB_HOUSTON,HU,20.6,Jan
1/1/2017,19,1,N,HB_HOUSTON,HU,20.61,Jan
1/1/2017,19,2,N,HB_HOUSTON,HU,20.09,Jan
1/1/2017,19,3,N,HB_HOUSTON,HU,19.83,Jan
1/1/2017,19,4,N,HB_HOUSTON,HU,19.69,Jan
1/1/2017,20,1,N,HB_HOUSTON,HU,19.63,Jan
1/1/2017,20,2,N,HB_HOUSTON,HU,19.59,Jan
1/1/2017,20,3,N,HB_HOUSTON,HU,19.48,Jan
1/1/2017,20,4,N,HB_HOUSTON,HU,19.05,Jan
1/1/2017,21,1,N,HB_HOUSTON,HU,19.37,Jan
1/1/2017,21,2,N,HB_HOUSTON,HU,19.41,Jan
1/1/2017,21,3,N,HB_HOUSTON,HU,18.86,Jan
1/1/2017,21,4,N,HB_HOUSTON,HU,18.25,Jan
1/1/2017,22,1,N,HB_HOUSTON,HU,18.06,Jan
1/1/2017,22,2,N,HB_HOUSTON,HU,18.48,Jan
1/1/2017,22,3,N,HB_HOUSTON,HU,18.32,Jan
1/1/2017,22,4,N,HB_HOUSTON,HU,18.1,Jan
1/1/2017,23,1,N,HB_HOUSTON,HU,18.54,Jan
1/1/2017,23,2,N,HB_HOUSTON,HU,16.96,Jan
1/1/2017,23,3,N,HB_HOUSTON,HU,2.18,Jan
1/1/2017,23,4,N,HB_HOUSTON,HU,3.79,Jan
1/1/2017,24,1,N,HB_HOUSTON,HU,16.8,Jan
1/1/2017,24,2,N,HB_HOUSTON,HU,0.57,Jan
1/1/2017,24,3,N,HB_HOUSTON,HU,0,Jan
1/1/2017,24,4,N,HB_HOUSTON,HU,7.26,Jan
