Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan,1/1/2018,1,1,N,HB_HOUSTON,HU,27.68
Jan,1/1/2018,1,2,N,HB_HOUSTON,HU,27.69
Jan,1/1/2018,1,3,N,HB_HOUSTON,HU,27.46
Jan,1/1/2018,1,4,N,HB_HOUSTON,HU,27.45
Jan,1/1/2018,2,1,N,HB_HOUSTON,HU,27.62
Jan,1/1/2018,2,2,N,HB_HOUSTON,HU,27.83
Jan,1/1/2018,2,3,N,HB_HOUSTON,HU,27.71
Jan,1/1/2018,2,4,N,HB_HOUSTON,HU,27.63
Jan,1/1/2018,3,1,N,HB_HOUSTON,HU,27.43
Jan,1/1/2018,3,2,N,HB_HOUSTON,HU,27.53
Jan,1/1/2018,3,3,N,HB_HOUSTON,HU,27.61
Jan,1/1/2018,3,4,N,HB_HOUSTON,HU,27.57
Jan,1/1/2018,4,1,N,HB_HOUSTON,HU,27.95
Jan,1/1/2018,4,2,N,HB_HOUSTON,HU,27.91
Jan,1/1/2018,4,3,N,HB_HOUSTON,HU,27.75
Jan,1/1/2018,4,4,N,HB_HOUSTON,HU,28.25
Jan,1/1/2018,5,1,N,HB_HOUSTON,HU,27.38
Jan,1/1/2018,5,2,N,HB_HOUSTON,HU,28.21
Jan,1/1/2018,5,3,N,HB_HOUSTON,HU,28.88
Jan,1/1/2018,5,4,N,HB_HOUSTON,HU,30.08
Jan,1/1/2018,6,1,N,HB_HOUSTON,HU,29.97
Jan,1/1/2018,6,2,N,HB_HOUSTON,HU,31.38
Jan,1/1/2018,6,3,N,HB_HOUSTON,HU,31.39
Jan,1/1/2018,6,4,N,HB_HOUSTON,HU,31.4
Jan,1/1/2018,7,1,N,HB_HOUSTON,HU,32.31
Jan,1/1/2018,7,2,N,HB_HOUSTON,HU,32.65
Jan,1/1/2018,7,3,N,HB_HOUSTON,HU,32.76
Jan,1/1/2018,7,4,N,HB_HOUSTON,HU,33.31
Jan,1/1/2018,8,1,N,HB_HOUSTON,HU,32.14
Jan,1/1/2018,8,2,N,HB_HOUSTON,HU,32.18
Jan,1/1/2018,8,3,N,HB_HOUSTON,HU,32.63
Jan,1/1/2018,8,4,N,HB_HOUSTON,HU,32.22
Jan,1/1/2018,9,1,N,HB_HOUSTON,HU,32.08
Jan,1/1/2018,9,2,N,HB_HOUSTON,HU,33.09
Jan,1/1/2018,9,3,N,HB_HOUSTON,HU,32.53
Jan,1/1/2018,9,4,N,HB_HOUSTON,HU,32.65
Jan,1/1/2018,10,1,N,HB_HOUSTON,HU,36.76
Jan,1/1/2018,10,2,N,HB_HOUSTON,HU,40.25
Jan,1/1/2018,10,3,N,HB_HOUSTON,HU,40.01
Jan,1/1/2018,10,4,N,HB_HOUSTON,HU,39.54
Jan,1/1/2018,11,1,N,HB_HOUSTON,HU,40.25
Jan,1/1/2018,11,2,N,HB_HOUSTON,HU,41.03
Jan,1/1/2018,11,3,N,HB_HOUSTON,HU,40.5
Jan,1/1/2018,11,4,N,HB_HOUSTON,HU,39.9
Jan,1/1/2018,12,1,N,HB_HOUSTON,HU,39.85
Jan,1/1/2018,12,2,N,HB_HOUSTON,HU,40.37
Jan,1/1/2018,12,3,N,HB_HOUSTON,HU,40.3
Jan,1/1/2018,12,4,N,HB_HOUSTON,HU,39.83
Jan,1/1/2018,13,1,N,HB_HOUSTON,HU,37.28
Jan,1/1/2018,13,2,N,HB_HOUSTON,HU,36.26
Jan,1/1/2018,13,3,N,HB_HOUSTON,HU,34.93
Jan,1/1/2018,13,4,N,HB_HOUSTON,HU,34.32
Jan,1/1/2018,14,1,N,HB_HOUSTON,HU,32.17
Jan,1/1/2018,14,2,N,HB_HOUSTON,HU,31.11
Jan,1/1/2018,14,3,N,HB_HOUSTON,HU,30.8
Jan,1/1/2018,14,4,N,HB_HOUSTON,HU,30.72
Jan,1/1/2018,15,1,N,HB_HOUSTON,HU,29.14
Jan,1/1/2018,15,2,N,HB_HOUSTON,HU,28.43
Jan,1/1/2018,15,3,N,HB_HOUSTON,HU,27.84
Jan,1/1/2018,15,4,N,HB_HOUSTON,HU,27.26
Jan,1/1/2018,16,1,N,HB_HOUSTON,HU,27.44
